시장명,시장유형,소재지도로명주소,시장개설주기,소재지지번주소,점포수,사용가능상품권,공중화장실 보유여부,주차장 보유여부,개설년도,데이터기준일자
구덕대림상가,상설,부산광역시 사상구 학감대로 49번길 62,상설,부산 사상구 학장동 167-3,43,,Y,Y,1995,2015-12-31
영해종합시장,상설,부산광역시 사상구 학장동 570-2,상설,부산 사상구 학장동 570-2,73,온누리상품권,Y,Y,,2015-12-31
학장반도보라상가,상설,부산광역시 사상구 학장동 573-1,상설,부산 사상구 학장동 573-1,136,온누리상품권,Y,Y,2012,2015-12-31
감천2동시장,상설,부산광역시 사하구 감천 2동 13-13,상설,부산 사하구 감천2동 13-13,56,온누리상품권,Y,N,2011,2015-12-31
감천시장,상설,부산광역시 사하구 감천1동 471,상설,부산 사하구 감천1동 471,44,온누리상품권,Y,N,1975,2015-12-31
사하시장,상설,부산광역시 사하구 괴정4동 552-14,상설,부산 사하구 괴정4동 552-14,96,온누리상품권,Y,N,2008,2015-12-31
다대씨-파크,상설,부산광역시 사하구 다대동 680-2,상설,부산 사하구 다대1동 680-2,233,온누리상품권,Y,Y,1996,2015-12-31
신평골목시장,상설,부산광역시 사하구 다대로134번길 180,상설,부산 사하구 신평1동 82-9,108,온누리상품권,Y,Y,2006,2015-12-31
당리시장,상설,부산광역시 사하구 당리동 143-1,상설,부산 사하구 당리동 143-1,65,온누리상품권,Y,Y,1980,2015-12-31
하단시장,상설,부산광역시 사하구 당리동 302-7,상설,부산 사하구 당리동 302-7,61,온누리상품권,Y,N,1983,2015-12-31
괴정골목시장,상설,부산광역시 사하구 사하로 198,상설,부산 사하구 괴정동 1011-26,141,온누리상품권,N,Y,2012,2015-12-31
신평종합시장,상설,부산광역시 사하구 신평동 111-213,상설,부산 사하구 신평1동 111-213,77,온누리상품권,Y,N,1980,2015-12-31
장림시장,상설,부산광역시 사하구 장림동 792-7,상설,부산 사하구 장림1동 792-7,41,온누리상품권,Y,Y,1985,2015-12-31
장림골목시장,상설,부산광역시 사하구 장림시장 5길 95,상설,부산 사하구 장림동 641-268,81,온누리상품권,N,Y,2006,2015-12-31
가락타운상가시장,상설,부산광역시 사하구 하단1동 1176,상설,부산 사하구 하단1동 1176,107,온누리상품권,Y,Y,2014,2015-12-31
하단오일상설시장,상설+정기,부산광역시 사하구 하단1동 620-8,5일,부산 사하구 하단1동 620-8,100,온누리상품권,Y,N,2001,2015-12-31
에덴시장,상설,부산광역시 사하구 하단2동 487-6,상설,부산 사하구 하단2동 487-6,62,온누리상품권,Y,N,1987,2015-12-31
에덴골목시장,상설,부산광역시 사하구 하단2동 500-29,상설,부산 사하구 하단2동 500-29,48,온누리상품권,N,N,2011,2015-12-31
대신시장,상설,부산광역시 서구 대영로 78 (동대신동1가 113-1번지),상설,부산 서구 동대신동 외113,164,온누리상품권,Y,N,2011,2015-12-31
동대신1동골목시장,상설,부산광역시 서구 동대신동의 129,상설,부산 서구 동대신동 외 129,70,,Y,N,2005,2015-12-31
서대신1동골목시장,상설,부산광역시 서구 서대신동 1가 159-6,상설,부산 서구 서대신동 1가 159-6,45,온누리상품권,N,N,2010,2015-12-31
서대신동골목시장,상설,부산광역시 서구 서대신동 2가 108번지 일원,상설,부산 서구 서대신동 2가 108,110,온누리상품권,Y,N,2009,2015-12-31
아미시장,상설,부산광역시 서구 아미동 2가 96-11,상설,부산 서구 아미동 2가 96-11,52,온누리상품권,N,N,2006,2015-12-31
송남시장,상설,부산광역시 서구 충무대로 34(암남동),상설,부산 서구 암남동 346-2,71,온누리상품권,Y,Y,1979,2015-12-31
충무동해안시장,상설,부산광역시 서구 충무동1가 1-75,상설,부산 서구 충무동 1가 1-75,172,온누리상품권,Y,N,2005,2015-12-31
충무동골목시장,상설,부산광역시 서구 충무시장길 38,상설,부산 서구 충무동 1가 29,178,온누리상품권,N,N,2005,2015-12-31
충무동새벽시장,상설,부산광역시 서구 해안새벽시장길 68,상설,부산 서구 남부민1동 684,277,온누리상품권,Y,Y,2005,2015-12-31
